"ID","Site","Small or Large","PlotID","Date","Year","Collector","PlotNum","QuadNum","RepNum","Litter depth (cm)","Moss depth (cm)"
185,"Hoskins","S","FH-20",6/21/2006 0:00:00,2006,"Joe Buttafuoco",20,0,0,0.10,0.00
186,"Hoskins","S","FH-20",6/21/2006 0:00:00,2006,"Joe Buttafuoco",20,0,0,0.00,0.00
187,"Hoskins","S","FH-20",6/21/2006 0:00:00,2006,"Joe Buttafuoco",20,0,0,0.00,0.00
188,"Hoskins","S","FH-20",6/21/2006 0:00:00,2006,"Joe Buttafuoco",20,0,0,0.80,0.00
189,"Hoskins","S","FH-20",6/21/2006 0:00:00,2006,"Joe Buttafuoco",20,0,0,0.60,0.00
190,"Hoskins","S","FH-20",6/21/2006 0:00:00,2006,"Joe Buttafuoco",20,0,0,0.30,0.00
191,"Hoskins","S","FH-9",6/21/2006 0:00:00,2006,"Joe Buttafuoco",9,0,0,4.40,0.00
192,"Hoskins","S","FH-9",6/21/2006 0:00:00,2006,"Joe Buttafuoco",9,0,0,0.80,0.00
193,"Hoskins","S","FH-9",6/21/2006 0:00:00,2006,"Joe Buttafuoco",9,0,0,0.00,0.00
194,"Hoskins","S","FH-9",6/21/2006 0:00:00,2006,"Joe Buttafuoco",9,0,0,0.70,0.00
195,"Hoskins","S","FH-9",6/21/2006 0:00:00,2006,"Joe Buttafuoco",9,0,0,0.40,0.00
196,"Hoskins","S","FH-9",6/21/2006 0:00:00,2006,"Joe Buttafuoco",9,0,0,0.50,0.00
197,"Hoskins","S","FH-9",6/21/2006 0:00:00,2006,"Joe Buttafuoco",9,0,0,0.10,0.00
198,"Hoskins","S","FH-9",6/21/2006 0:00:00,2006,"Joe Buttafuoco",9,0,0,0.20,0.00
199,"Hoskins","S","FH-9",6/21/2006 0:00:00,2006,"Joe Buttafuoco",9,0,0,0.40,0.00
200,"Hoskins","S","FH-9",6/21/2006 0:00:00,2006,"Joe Buttafuoco",9,0,0,0.10,0.00
201,"Bellfountain","S","BF-3",6/14/2006 0:00:00,2006,"Deborah Nemens",3,0,0,2.00,0.00
202,"Bellfountain","S","BF-3",6/14/2006 0:00:00,2006,"Deborah Nemens",3,0,0,0.90,0.00
203,"Bellfountain","S","BF-3",6/14/2006 0:00:00,2006,"Deborah Nemens",3,0,0,2.60,0.00
204,"Bellfountain","S","BF-3",6/14/2006 0:00:00,2006,"Deborah Nemens",3,0,0,2.10,0.00
205,"Bellfountain","S","BF-3",6/14/2006 0:00:00,2006,"Deborah Nemens",3,0,0,0.70,0.00
206,"Bellfountain","S","BF-3",6/14/2006 0:00:00,2006,"Deborah Nemens",3,0,0,0.00,0.00
